geometry,id,ID,height_mean,height_min,height_max,Shape_Leng,Shape_Area,BNG_Area
"POLYGON ((-1.1761324629088 52.9097007155332,-1.17625326924665 52.9096031192255,-1.17633876820045 52.9096423658071,-1.17621648413398 52.9097395026231,-1.1761324629088 52.9097007155332))",3932510,0D4F70AF53F827B3E050A00A568A259B,3.75,0.0,8.0,68.7330136798,267.025149308,97.2049820671
"POLYGON ((-1.17646382536627 52.9094773781264,-1.17638805876018 52.9095914677882,-1.17629036787128 52.9095678680244,-1.17636687738414 52.909453783718,-1.17646382536627 52.9094773781264))",3932511,0D4F70AF53F927B3E050A00A568A259B,3.52,0.0,8.0,68.7539047042,265.060034805,96.4902789642
"POLYGON ((-1.17534449847042 52.909616145623,-1.17549078372457 52.909703907522,-1.17541708863355 52.9097478937749,-1.17527304198108 52.9096596980232,-1.17534449847042 52.909616145623))",3932512,0D4F70AF53FA27B3E050A00A568A259B,5.15,0.0,8.0,68.6722862672,261.761628349,95.2888733371
"POLYGON ((-1.17368528049561 52.9089794137633,-1.17358718985637 52.9090942453187,-1.17349924209507 52.9090666655331,-1.17359881944614 52.908951844198,-1.17368528049561 52.9089794137633))",3932513,0D4F70AF53FB27B3E050A00A568A259B,3.96,0.0,7.0,69.6834617626,261.752271573,95.2883834727
"POLYGON ((-1.18114451153843 52.8923101552313,-1.18122158070164 52.8922587279416,-1.18135104320548 52.8923297364987,-1.18127397314393 52.8923811647881,-1.18114451153843 52.8923101552313))",3933092,0D4F70AF565C27B3E050A00A568A259B,5.36363636364,0.0,8.0,64.5393834801,249.16108955,90.7741787429
"POLYGON ((-1.17992984105167 52.8921064417805,-1.17974282887741 52.8921316699188,-1.17971881062166 52.892065432001,-1.17990581471112 52.8920406531177,-1.17992984105167 52.8921064417805))",3933093,0D4F70AF565D27B3E050A00A568A259B,4.04166666667,0.0,7.0,67.5862224844,265.901238732,96.8740027756
"POLYGON ((-1.17948437907842 52.8921617985262,-1.17962248786696 52.8920894878823,-1.17969510228465 52.8921403300461,-1.17955699349611 52.8922126400631,-1.17948437907842 52.8921617985262))",3933094,0D4F70AF565E27B3E050A00A568A259B,5.14285714286,0.0,7.0,65.4789969412,252.074536778,91.8363435599
"POLYGON ((-1.19198554298704 52.8949162064941,-1.19211618497897 52.8947730846011,-1.19222565188288 52.8948096067579,-1.19209486077063 52.8949527274464,-1.19198554298704 52.8949162064941))",3933095,0D4F70AF565F27B3E050A00A568A259B,3.76923076923,0.0,7.0,88.1413371866,419.66191655,152.872757103
"POLYGON ((-1.19128650457379 52.8979026684562,-1.1915369449937 52.897824995554,-1.19158936438546 52.8978839632452,-1.19122449117468 52.8979998711542,-1.19109155758063 52.8978500122751,-1.19108603204331 52.8978514130809,-1.19108275139588 52.8978519300515,-1.19107947703669 52.8978521776988,-1.19107516602162 52.8978521484363,-1.19106760580021 52.8978510180374,-1.19106464854626 52.8978501889338,-1.19106095916542 52.8978487258095,-1.1910584555607 52.897847450182,-1.191055669885 52.8978453633332,-1.19105406549392 52.8978437343881,-1.19105276293676 52.8978418377453,-1.19105190594397 52.8978399443539,-1.19105149721052 52.8978379637168,-1.19105154571953 52.8978353571874,-1.19105202811484 52.8978333830528,-1.19105326599331 52.8978307841097,-1.19105630499393 52.8978272092079,-1.19105916792475 52.8978251613748,-1.19106307559622 52.8978228507211,-1.19106103192896 52.8978208592452,-1.19107240819371 52.897816621601,-1.1910097300414 52.8977418525825,-1.1911142795675 52.8977074159589,-1.19128650457379 52.8979026684562))",3933096,0D4F70AF566027B3E050A00A568A259B,0.00952380952381,0.0,1.0,201.547011448,1166.19959102,424.760085522
"POLYGON ((-1.19189947629617 52.8984826067332,-1.1916271879502 52.898567862192,-1.19157291802895 52.8985044774052,-1.19197769260804 52.8983774230606,-1.1921631524934 52.8985887655499,-1.19202708018564 52.8986315292097,-1.19189947629617 52.8984826067332))",3933097,0D4F70AF566127B3E050A00A568A259B,0.0,0.0,0.0,190.254699088,1194.38570958,435.012974828
"POLYGON ((-1.19206439979581 52.8986871572355,-1.1922770310237 52.8986203728168,-1.19233261607853 52.8986850243668,-1.19211998485064 52.8987518092278,-1.19206439979581 52.8986871572355))",3933098,0D4F70AF566227B3E050A00A568A259B,0.0,0.0,0.0,80.2526298793,358.663218725,130.629454943
"POLYGON ((-1.19109042480484 52.898278348429,-1.19171342352282 52.898079426828,-1.19191267344609 52.8983084819759,-1.191761636104 52.8983566274372,-1.19162804584148 52.8982020005878,-1.19127902609884 52.8983126231152,-1.19139947580539 52.8984543959342,-1.19127447523352 52.8984932781702,-1.19109042480484 52.898278348429))",3933099,0D4F70AF566327B3E050A00A568A259B,0.00956937799043,0.0,1.0,310.982976975,2286.44414692,832.765353208
"POLYGON ((-1.19139361429809 52.8985856908738,-1.19132722430701 52.8985105373568,-1.19146362180492 52.8984663386525,-1.191530160018 52.8985414927881,-1.19139361429809 52.8985856908738))",3933100,0D4F70AF566427B3E050A00A568A259B,0.0,0.0,0.0,65.923994831,271.041670345,98.7173733941
"POLYGON ((-1.18881373903954 52.8973158028398,-1.18840325566688 52.8972709304128,-1.18843650411226 52.8971621162777,-1.18884624367985 52.8972069833984,-1.18881373903954 52.8973158028398))",3933101,0D4F70AF566527B3E050A00A568A259B,4.95348837209,0.0,10.0,133.618823711,947.041677259,344.947111175
"POLYGON ((-1.18834863809764 52.8971707753999,-1.18832622153799 52.8972408292007,-1.18815490293175 52.8972207819456,-1.1881773194914 52.8971507275704,-1.18834863809764 52.8971707753999))",3933102,0D4F70AF566627B3E050A00A568A259B,4.25,0.0,8.0,65.1851879842,255.770392114,93.1610936261
"POLYGON ((-1.18866995020341 52.8975330832479,-1.1886859788431 52.8974070719288,-1.18886702081396 52.8974159483052,-1.18885069752687 52.8975418680171,-1.18866995020341 52.8975330832479))",3933556,0D4F70AF584427B3E050A00A568A259B,5.3488372093,0.0,10.0,87.0352517203,471.02222703,171.561608989
"POLYGON ((-1.18802501462625 52.8975691321665,-1.18766933387585 52.8975109676877,-1.18769802337114 52.8974473391244,-1.18805370412153 52.8975055031468,-1.18802501462625 52.8975691321665))",3933557,0D4F70AF584527B3E050A00A568A259B,4.33333333333,0.0,7.0,106.383134828,499.184297833,181.818898702
"POLYGON ((-1.18825558341344 52.8981338910316,-1.18841447921762 52.8981507076339,-1.18838493272955 52.8982522655102,-1.18822603692538 52.8982354489473,-1.18825558341344 52.8981338910316))",3933558,0D4F70AF584627B3E050A00A568A259B,1.29032258065,0.0,3.0,73.9721906971,341.706926722,124.45667467
"POLYGON ((-1.18769364049042 52.8983262007603,-1.1878010053366 52.8983402384673,-1.18776163487257 52.8984503588513,-1.18765427002639 52.8984363211799,-1.18769364049042 52.8983262007603))",3933559,0D4F70AF584727B3E050A00A568A259B,5.08695652174,0.0,7.0,66.0361016561,254.231888047,92.5956502719
"POLYGON ((-1.18676308197518 52.898555179823,-1.18713688893141 52.8985586354492,-1.1871348928748 52.8986255928254,-1.18676182882533 52.8986221420816,-1.18676308197518 52.898555179823))",3933560,0D4F70AF584827B3E050A00A568A259B,4.58333333333,0.0,8.0,107.867353129,513.793375885,187.130720628
"POLYGON ((-1.18632309792853 52.8985530675395,-1.18669395661403 52.8985551559799,-1.1866934805069 52.8986203262142,-1.18632186993153 52.8986186815835,-1.18632309792853 52.8985530675395))",3933561,0D4F70AF584927B3E050A00A568A259B,4.41666666667,0.0,8.0,106.790000621,498.727886108,181.643706239
"POLYGON ((-1.19162768202344 52.8989010120174,-1.19208846745879 52.8989038747942,-1.19208681725358 52.8989766774793,-1.19162572998427 52.8989739924452,-1.19162768202344 52.8989010120174))",3933562,0D4F70AF584A27B3E050A00A568A259B,2.109375,0.0,5.0,129.533520864,690.315242681,251.418205174
"POLYGON ((-1.19194228371388 52.8995544311678,-1.19194820361176 52.8992759805171,-1.19206934591947 52.8992768036329,-1.1920630020168 52.8995540827411,-1.19194228371388 52.8995544311678))",3933563,0D4F70AF584B27B3E050A00A568A259B,3.03896103896,0.0,5.0,129.490107714,690.330552376,251.41827272
"POLYGON ((-1.19123352553096 52.8990562741686,-1.19122902586959 52.899338060414,-1.19111382951074 52.8993372763148,-1.19111802464326 52.8990559376594,-1.19123352553096 52.8990562741686))",3933564,0D4F70AF584C27B3E050A00A568A259B,5.65625,0.0,8.0,129.606978955,667.247586537,243.013934683
"POLYGON ((-1.1894053766717 52.898997705815,-1.18951407102449 52.8989883789154,-1.18954022996553 52.8991002950756,-1.1894315347144 52.8991096224931,-1.1894053766717 52.898997705815))",3933565,0D4F70AF584D27B3E050A00A568A259B,4.70833333333,0.0,8.0,66.15837034,254.913420903,92.8410295719
"POLYGON ((-1.19142031402429 52.8999633140935,-1.19126965038138 52.8999590528165,-1.19127847004091 52.8998445882784,-1.19142913098886 52.8998489389757,-1.19142031402429 52.8999633140935))",3933566,0D4F70AF584E27B3E050A00A568A259B,4.65714285714,0.0,8.0,75.857845411,354.924359517,129.2605062
"POLYGON ((-1.1885179884943 52.8987375218442,-1.18862685981522 52.8987266683933,-1.18864953239467 52.8988101546566,-1.18854051375002 52.8988209170498,-1.1885179884943 52.8987375218442))",3933567,0D4F70AF584F27B3E050A00A568A259B,3.33333333333,0.0,7.0,55.7859329521,191.762313772,69.8419034126
"POLYGON ((-1.18825140355193 52.8990979731103,-1.18815460019855 52.8991073801849,-1.18813224113116 52.8990230870882,-1.18822904448454 52.8990136799954,-1.18825140355193 52.8990979731103))",3933568,0D4F70AF585027B3E050A00A568A259B,1.9375,0.0,4.0,53.3370132011,171.949605166,62.625080914
"POLYGON ((-1.18616370176525 52.8935687124968,-1.18598833535033 52.8935275089981,-1.18602815497199 52.8934648560626,-1.18620351240374 52.8935065088992,-1.18616370176525 52.8935687124968))",3933569,0D4F70AF585127B3E050A00A568A259B,4.17391304348,0.0,8.0,66.6139928279,258.748475851,94.2617838217
"POLYGON ((-1.18188946374209 52.8935348757494,-1.1817079456641 52.8935048602806,-1.18173740950719 52.8934398899214,-1.18191819276324 52.893469450737,-1.18188946374209 52.8935348757494))",3933570,0D4F70AF585227B3E050A00A568A259B,4.91666666667,0.0,8.0,66.7198655713,260.398194411,94.8629774777
"POLYGON ((-1.18248805613198 52.8935969757936,-1.18253697568747 52.8934853944381,-1.18264442138205 52.8935023141892,-1.18259549374169 52.8936143453204,-1.18248805613198 52.8935969757936))",3933571,0D4F70AF585327B3E050A00A568A259B,4.54166666667,0.0,7.0,67.4175399945,263.974504135,96.1655365758
"POLYGON ((-1.18161124382024 52.8937620998261,-1.18164056662778 52.8936967694559,-1.18181216011849 52.8937250082817,-1.18178283731095 52.8937903391512,-1.18161124382024 52.8937620998261))",3933572,0D4F70AF585427B3E050A00A568A259B,4.90909090909,0.0,8.0,64.5770336796,247.274821788,90.0810783323
"POLYGON ((-1.18166273435416 52.8934982565928,-1.18148271107282 52.8934678010332,-1.18151293578891 52.8934019374792,-1.18169295907025 52.8934323925432,-1.18166273435416 52.8934982565928))",3933573,0D4F70AF585527B3E050A00A568A259B,4.82608695652,0.0,8.0,66.8465923446,262.455875189,95.6127567936
"POLYGON ((-1.18105579841198 52.8933268736082,-1.18123954521016 52.8933569054589,-1.18121081439238 52.8934223300992,-1.18102630761945 52.8933931919753,-1.18105579841198 52.8933268736082))",3933574,0D4F70AF585627B3E050A00A568A259B,4.375,0.0,8.0,67.5812680026,266.818819645,97.202523127
"POLYGON ((-1.18018343186253 52.8935793943569,-1.18029250889764 52.8936043284424,-1.18022951453826 52.893705294325,-1.18012043660482 52.8936803602975,-1.18018343186253 52.8935793943569))",3933575,0D4F70AF585727B3E050A00A568A259B,4.95833333333,0.0,8.0,65.7820936718,258.47839786,94.1629529272
"POLYGON ((-1.18259778533997 52.9016742403889,-1.18271355482399 52.9015658155227,-1.1827940097375 52.9015960334796,-1.18267822408379 52.9017053571988,-1.18259778533997 52.9016742403889))",3934545,0D4F70AF5C3D27B3E050A00A568A259B,3.91666666667,0.0,8.0,68.9308986905,252.883846607,92.0910179043
"POLYGON ((-1.18234234130399 52.9015416879579,-1.18216842117664 52.9016195980311,-1.18211058494371 52.9015724553689,-1.18228450507106 52.9014945457527,-1.18234234130399 52.9015416879579))",3934546,0D4F70AF5C3E27B3E050A00A568A259B,4.08333333333,0.0,8.0,69.8786020991,261.015704779,95.052692195
"POLYGON ((-1.18242872240316 52.9021656955688,-1.18256331877892 52.9020602770059,-1.18264187555222 52.9020965947065,-1.18250757382387 52.9022021952404,-1.18242872240316 52.9021656955688))",3934547,0D4F70AF5C3F27B3E050A00A568A259B,3.96,0.0,8.0,71.2019258413,271.170577859,98.7481279439
"POLYGON ((-1.18163154663969 52.9023795505226,-1.18145688540231 52.902299241455,-1.18151408383145 52.9022539694316,-1.1816881449942 52.9023345440857,-1.18163154663969 52.9023795505226))",3934548,0D4F70AF5C4027B3E050A00A568A259B,4.4347826087,0.0,8.0,69.8033910618,255.730300194,93.1246959904
"POLYGON ((-1.18129361300633 52.9017722387306,-1.18147974213664 52.9018355472137,-1.18143648017081 52.9018828933243,-1.18125035912534 52.9018191351764,-1.18129361300633 52.9017722387306))",3934549,0D4F70AF5C4127B3E050A00A568A259B,4.13043478261,0.0,8.0,67.4953718943,236.646351204,86.1771782699
"POLYGON ((-1.18002081343586 52.901507268442,-1.17993088938087 52.9016244091232,-1.17984584946614 52.9016008993012,-1.1799342957925 52.9014832990656,-1.18002081343586 52.901507268442))",3934550,0D4F70AF5C4227B3E050A00A568A259B,4.78260869565,0.0,8.0,68.6679483593,250.334412499,91.1629950407
"POLYGON ((-1.18133154526735 52.9021262319778,-1.18147014902753 52.9022265191263,-1.18139584757368 52.9022642124261,-1.18125650090676 52.9021639199464,-1.18133154526735 52.9021262319778))",3934551,0D4F70AF5C4327B3E050A00A568A259B,4.79166666667,0.0,8.0,69.9243598721,261.470829414,95.2156566538
"POLYGON ((-1.18554796232859 52.9027916431775,-1.18545949983266 52.9026728270393,-1.18554542907955 52.902649144398,-1.18563388349063 52.9027684103253,-1.18554796232859 52.9027916431775))",3934552,0D4F70AF5C4427B3E050A00A568A259B,5.45454545455,0.0,8.0,69.1502593511,252.776655548,92.047346768
"POLYGON ((-1.18434069395958 52.9029928177647,-1.18451533273918 52.9029162582448,-1.18456949126933 52.902961576174,-1.18439485159144 52.9030381361556,-1.18434069395958 52.9029928177647))",3934553,0D4F70AF5C4527B3E050A00A568A259B,3.33333333333,0.0,8.0,68.6867894582,247.785660104,90.2288547583
"POLYGON ((-1.18404013563123 52.9038371048391,-1.18396283200778 52.903717914458,-1.18405467755915 52.9036960713411,-1.18413197219942 52.9038157109538,-1.18404013563123 52.9038371048391))",3934554,0D4F70AF5C4627B3E050A00A568A259B,4.54166666667,0.0,7.0,69.2689285341,259.657845814,94.5485790482
"POLYGON ((-1.18314735756215 52.9035594939067,-1.18329269329705 52.9036580276424,-1.18322135538536 52.9036961916262,-1.18307750726055 52.9035976682719,-1.18314735756215 52.9035594939067))",3934555,0D4F70AF5C4727B3E050A00A568A259B,4.33333333333,0.0,8.0,69.6777373227,256.291658538,93.3234664684
"POLYGON ((-1.18274266293355 52.9027849748007,-1.18287764109335 52.9026829745713,-1.18295055644664 52.9027189834447,-1.18281558637172 52.9028205349494,-1.18274266293355 52.9027849748007))",3934556,0D4F70AF5C4827B3E050A00A568A259B,4.0,0.0,8.0,69.0366528269,251.703502291,91.656476194
"POLYGON ((-1.18158623292166 52.9026147604394,-1.18170690720706 52.9027198677225,-1.18162969970327 52.90275394546,-1.18150830766395 52.9026474847486,-1.18158623292166 52.9026147604394))",3934557,0D4F70AF5C4927B3E050A00A568A259B,5.13043478261,0.0,8.0,68.6621358884,251.63111767,91.6304243763
"POLYGON ((-1.18026181974786 52.9030748800004,-1.1800575347673 52.903028074858,-1.18009847638477 52.9029620156011,-1.18030291138395 52.9030087319542,-1.18026181974786 52.9030748800004))",3934558,0D4F70AF5C4A27B3E050A00A568A259B,4.13793103448,0.0,8.0,74.7152561266,316.945455091,115.412624966
"POLYGON ((-1.18007071574738 52.9032356403222,-1.18021515945524 52.9032707064938,-1.18015226840213 52.9033653803558,-1.18000782559257 52.9033303142608,-1.18007071574738 52.9032356403222))",3934559,0D4F70AF5C4B27B3E050A00A568A259B,3.8,0.0,8.0,72.312543403,326.263230715,118.804064942
"POLYGON ((-1.17909992169166 52.9011871832995,-1.17923264867333 52.9010865198638,-1.17930778735697 52.9011225468615,-1.1791750603753 52.9012232102135,-1.17909992169166 52.9011871832995))",3934560,0D4F70AF5C4C27B3E050A00A568A259B,4.30434782609,0.0,7.0,68.8432853494,253.626325883,92.3634988949
"POLYGON ((-1.1779745401507 52.9014770444627,-1.17800855665563 52.9014313440582,-1.1781675539694 52.9014746933647,-1.1781335374645 52.9015203942654,-1.1779745401507 52.9014770444627))",3934561,0D4F70AF5C4D27B3E050A00A568A259B,1.5625,0.0,3.0,57.3376313922,179.574784596,65.3950816146
"POLYGON ((-1.17560840284385 52.9014277575326,-1.17544500827678 52.9013421240676,-1.17550678002905 52.9012989539824,-1.17567092738432 52.9013841426708,-1.17560840284385 52.9014277575326))",3934562,0D4F70AF5C4E27B3E050A00A568A259B,4.625,0.0,9.0,69.3663552863,255.047215141,92.8801187789
