helper,shadowed_length,shadowgeom,osm_id,full_length,src_id,dst_id,edgegeom,tags,parsing_direction
false,0.0,,29349703,5.117441326815579,5,203,"LINESTRING (-1.1792246 52.9178511,-1.1791884 52.9178587,-1.1791725 52.9178794)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""surface"" => ""compacted"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""track"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 50, ""est_width"" => ""1.25"")",-1
false,0.0,,29349703,24.08245355720411,5,598,"LINESTRING (-1.1792246 52.9178511,-1.1795107 52.917721)","Dict{String, Any}(""designation"" => ""public_bridleway"", ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""lanes"" => missing, ""surface"" => ""compacted"", ""lanes:forward"" => missing, ""horse"" => ""yes"", ""lit"" => ""no"", ""reverseway"" => false, ""highway"" => ""track"", ""width"" => missing, ""foot"" => ""yes"", ""bicycle"" => ""yes"", ""maxspeed"" => 50, ""est_width"" => ""1.25"")",1
true,,,,,5,1632,,,
true,,,,,5,1633,,,
false,10.632914840830729,"LINESTRING (-1.1782595 52.902337,-1.1783167 52.9023251,-1.17839 52.9022862)",702049783,10.632914832496695,6,165,"LINESTRING (-1.1782595 52.902337,-1.1783167 52.9023251,-1.17839 52.9022862)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""paving_stones"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",1
false,3.2881062659224436,"LINESTRING (-1.1782595 52.902337,-1.17821514224568 52.902349395382)",702049783,13.80715819139499,6,307,"LINESTRING (-1.1782595 52.902337,-1.1782094 52.902351,-1.1781313 52.9023392,-1.1780667 52.9023237)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""paving_stones"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",-1
false,37.714927518217095,"MULTILINESTRING ((-1.17828270227489 52.9023298959522,-1.178324309359 52.9023795787235),(-1.17841082064772 52.9024904908744,-1.17859375492828 52.9027512142247))",219790817,59.17156112228139,6,1625,"LINESTRING (-1.17828270227489 52.9023298959522,-1.17837789900275 52.9024435696083,-1.17863904211168 52.90281575833)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => true, ""lanes"" => missing, ""lanes:forward"" => missing, ""reverseway"" => false, ""highway"" => ""service"", ""sidewalk"" => ""left"", ""width"" => missing, ""source"" => ""survey"", ""maxspeed"" => 50)",1
false,24.40699808096245,"MULTILINESTRING ((-1.18850592242614 52.8973263645103,-1.18856333199031 52.8973222795977,-1.18874559306744 52.8973324010461),(-1.18890842057799 52.8973414430557,-1.18902975575699 52.8973481807981))",954165114,35.410801963890755,7,1418,"LINESTRING (-1.18850592242614 52.8973263645103,-1.18856333199031 52.8973222795977,-1.18902975575699 52.8973481807981)","Dict{String, Any}(""lanes:forward"" => missing, ""reverseway"" => false, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes:both_ways"" => missing, ""highway"" => ""service"", ""lanes"" => missing, ""maxspeed"" => 50, ""width"" => missing)",-1
false,0.0,,702051978,24.278388528411774,8,181,"LINESTRING (-1.1908437 52.8975337,-1.190756 52.8975218,-1.1907939 52.8974119,-1.1907144 52.8973933)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",-1
false,0.0,,38073220,13.847011627940596,8,362,"LINESTRING (-1.19086905640479 52.8975371889054,-1.19085404010815 52.8975770980507,-1.19081800332218 52.897657704114)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => true, ""lanes"" => 1, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Clifton Lane"", ""source:name"" => ""survey"", ""cycleway:left"" => ""lane"", ""reverseway"" => false, ""highway"" => ""tertiary"", ""width"" => missing, ""cycleway"" => ""lane"", ""cycleway:left:width"" => ""1.75"", ""maxspeed"" => 48)",1
false,0.0,,702051978,16.12467111692526,8,1536,"LINESTRING (-1.1908437 52.8975337,-1.1909165 52.8975485,-1.1908681 52.8976425)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""segregated"" => ""no"", ""lit"" => ""yes"", ""reverseway"" => false, ""highway"" => ""path"", ""width"" => missing, ""foot"" => ""designated"", ""bicycle"" => ""designated"", ""maxspeed"" => 50)",1
false,25.759873355237218,"MULTILINESTRING ((-1.18360256869726 52.9078777737366,-1.18367369148224 52.907910397561,-1.18375683432625 52.9079744911816),(-1.18343565642427 52.9078373195072,-1.18355731373173 52.9078570153616,-1.18358354522954 52.9078690477091))",38072263,27.366461068470628,9,305,"LINESTRING (-1.18343565642427 52.9078373195072,-1.18355731373173 52.9078570153616,-1.18367369148224 52.907910397561,-1.18375683432625 52.9079744911816)","Dict{String, Any}(""lanes:both_ways"" => missing, ""lanes:backward"" => missing, ""oneway"" => false, ""lanes"" => missing, ""surface"" => ""asphalt"", ""lanes:forward"" => missing, ""name"" => ""Peacock Crescent"", ""source:name"" => ""survey"", ""reverseway"" => false, ""highway"" => ""residential"", ""width"" => missing, ""source"" => ""Yahoo"", ""maxspeed"" => 50)",1
