pointgeom,helper,osm_id,lat,vertex_id,lon
POINT (-1.1974172 52.9013729),false,1190215010,52.9013729,289,-1.1974172
POINT (-1.1928987 52.8999656),false,1191222211,52.8999656,290,-1.1928987
POINT (-1.1824892 52.8955525),false,323230121,52.8955525,291,-1.1824892
POINT (-1.1807556 52.9028795),false,6593066847,52.9028795,292,-1.1807556
POINT (-1.1734783 52.8969731),false,323229201,52.8969731,293,-1.1734783
POINT (-1.1964161 52.9028801),false,322861461,52.9028801,294,-1.1964161
POINT (-1.1889903 52.9058099),false,3539246375,52.9058099,295,-1.1889903
POINT (-1.1782014 52.9173031),false,1189737556,52.9173031,296,-1.1782014
POINT (-1.1691325 52.9095692),false,323237455,52.9095692,297,-1.1691325
POINT (-1.1851416 52.9090065),false,6695744762,52.9090065,298,-1.1851416
POINT (-1.1899375 52.9081655),false,2628745900,52.9081655,299,-1.1899375
POINT (-1.1847697 52.9129778),false,2675918361,52.9129778,300,-1.1847697
POINT (-1.1675389 52.9125339),false,2788408958,52.9125339,301,-1.1675389
POINT (-1.1911024 52.9088627),false,2628746429,52.9088627,302,-1.1911024
POINT (-1.1759117 52.9066083),false,1647849037,52.9066083,303,-1.1759117
POINT (-1.1903301 52.9070394),false,2631101580,52.9070394,304,-1.1903301
POINT (-1.1837159 52.9079939),false,323226500,52.9079939,305,-1.1837159
POINT (-1.1948411 52.8962567),false,6154218249,52.8962567,306,-1.1948411
POINT (-1.1780667 52.9023237),false,6592905980,52.9023237,307,-1.1780667
POINT (-1.1931588 52.9077767),false,2630621821,52.9077767,308,-1.1931588
POINT (-1.1928555 52.9026256),false,324244274,52.9026256,309,-1.1928555
POINT (-1.1866403 52.8961801),false,323231963,52.8961801,310,-1.1866403
POINT (-1.195493 52.9097856),false,432654492,52.9097856,311,-1.195493
POINT (-1.1789433 52.9023133),false,6593066844,52.9023133,312,-1.1789433
POINT (-1.1893107 52.9068159),false,322855098,52.9068159,313,-1.1893107
POINT (-1.1694144 52.9028962),false,2666124685,52.9028962,314,-1.1694144
