osm_id,lat,geopoint,vertex_id,end,lon,helper
4227468649,52.998775,POINT (-1.1970605 52.998775),23567,false,-1.1970605,
469279985,52.8776217,POINT (-1.0959497 52.8776217),23568,true,-1.0959497,
1830612612,52.9927771,POINT (-1.1823744 52.9927771),23569,false,-1.1823744,
1802063529,52.9512203,POINT (-1.1910732 52.9512203),23570,false,-1.1910732,
2885124702,52.9863219,POINT (-1.171135 52.9863219),23571,false,-1.171135,
420891448,52.9997087,POINT (-1.0666042 52.9997087),23572,false,-1.0666042,
6512180193,53.0103466,POINT (-1.18527 53.0103466),23573,false,-1.18527,
2058565164,53.0111158,POINT (-1.1246235 53.0111158),23574,false,-1.1246235,
323231435,52.8949071,POINT (-1.1785356 52.8949071),23575,false,-1.1785356,
3658339036,52.9081798,POINT (-1.0432507 52.9081798),23576,true,-1.0432507,
323228600,52.90409,POINT (-1.1866156 52.90409),23577,false,-1.1866156,
795907854,52.9646674,POINT (-1.106761 52.9646674),23578,true,-1.106761,
321401011,52.9245787,POINT (-1.1588201 52.9245787),23579,false,-1.1588201,
7350895777,52.9564355,POINT (-1.0259187 52.9564355),23580,false,-1.0259187,
1305157076,52.9512717,POINT (-1.1393559 52.9512717),23581,true,-1.1393559,
99635931,52.9410615,POINT (-1.147423 52.9410615),23582,false,-1.147423,
970009122,52.9943675,POINT (-1.1819913 52.9943675),23583,true,-1.1819913,
1722073065,52.8669209,POINT (-1.2079237 52.8669209),23584,true,-1.2079237,
323225205,52.9048529,POINT (-1.1761204 52.9048529),23585,false,-1.1761204,
424580905,52.9779329,POINT (-1.0860764 52.9779329),23586,false,-1.0860764,
1084252189,53.0034861,POINT (-1.1392653 53.0034861),23587,false,-1.1392653,
170437949,52.9346471,POINT (-1.2249098 52.9346471),23588,false,-1.2249098,
2056651758,52.9992946,POINT (-1.1240347 52.9992946),23589,true,-1.1240347,
1524656551,52.8999612,POINT (-1.0221496 52.8999612),23590,false,-1.0221496,
416471233,52.9413266,POINT (-1.1507005 52.9413266),23591,false,-1.1507005,
175456065,52.9934724,POINT (-1.2191903 52.9934724),23592,false,-1.2191903,
487597933,52.9723638,POINT (-1.1722197 52.9723638),23593,true,-1.1722197,
9522895057,53.0276445,POINT (-1.1895289 53.0276445),23594,false,-1.1895289,
1586206118,52.9145687,POINT (-1.1359795 52.9145687),23595,false,-1.1359795,
796036026,52.9635726,POINT (-1.0839074 52.9635726),23596,false,-1.0839074,
265897380,52.9300003,POINT (-1.2460021 52.9300003),23597,true,-1.2460021,
1585709530,52.9330923,POINT (-1.1808968 52.9330923),23598,false,-1.1808968,
348426509,52.9571182,POINT (-1.1663516 52.9571182),23599,true,-1.1663516,
1077296247,52.9978012,POINT (-1.2577706 52.9978012),23600,false,-1.2577706,
2057425187,53.0116532,POINT (-1.1188914 53.0116532),23601,false,-1.1188914,
154713175,52.937101,POINT (-1.1349482 52.937101),23602,false,-1.1349482,
9563770036,53.0212916,POINT (-1.1778197 53.0212916),23603,false,-1.1778197,
454579119,52.9762419,POINT (-1.186172 52.9762419),23604,true,-1.186172,
243281659,52.9585826,POINT (-1.2241853 52.9585826),23605,true,-1.2241853,
443197367,52.9961171,POINT (-1.2153702 52.9961171),23606,false,-1.2153702,
795679615,53.0150882,POINT (-1.1317719 53.0150882),23607,false,-1.1317719,
2268489104,52.9159455,POINT (-1.2006897 52.9159455),23608,true,-1.2006897,
7600093528,52.9486756,POINT (-1.1512156 52.9486756),23609,false,-1.1512156,
3452275185,53.0257378,POINT (-1.1731336 53.0257378),23610,true,-1.1731336,
360341481,52.9086449,POINT (-1.0488653 52.9086449),23611,false,-1.0488653,
462811225,52.8953583,POINT (-1.1556971 52.8953583),23612,false,-1.1556971,
332016636,52.9777229,POINT (-1.1868273 52.9777229),23613,false,-1.1868273,
2071921080,53.0006516,POINT (-1.1085379 53.0006516),23614,false,-1.1085379,
420896584,52.9960112,POINT (-1.1081584 52.9960112),23615,true,-1.1081584,
5172843329,52.8653815,POINT (-1.2406206 52.8653815),23616,false,-1.2406206,
539689144,52.9385623,POINT (-1.1594493 52.9385623),23617,false,-1.1594493,
379124413,52.9691421,POINT (-1.0788773 52.9691421),23618,false,-1.0788773,
7593071539,52.9251092,POINT (-1.1208294 52.9251092),23619,false,-1.1208294,
778389301,52.9254738,POINT (-1.0971635 52.9254738),23620,false,-1.0971635,
425182186,52.9877776,POINT (-1.1858457 52.9877776),23621,true,-1.1858457,
386168850,52.9925141,POINT (-1.1979673 52.9925141),23622,false,-1.1979673,
3511322628,52.9803016,POINT (-1.235351 52.9803016),23623,false,-1.235351,
901543953,52.9462442,POINT (-1.0233119 52.9462442),23624,true,-1.0233119,
3162935305,52.9189072,POINT (-1.0277923 52.9189072),23625,false,-1.0277923,
1161502611,52.9683881,POINT (-0.9617537 52.9683881),23626,false,-0.9617537,
279556988,53.0128336,POINT (-0.9594622 53.0128336),23627,false,-0.9594622,
350337538,52.9052919,POINT (-1.1390838 52.9052919),23628,false,-1.1390838,
16136199,52.9044477,POINT (-1.1909267 52.9044477),23629,false,-1.1909267,
256633142,52.9770623,POINT (-1.1197693 52.9770623),23630,false,-1.1197693,
322912932,52.9147795,POINT (-1.1337054 52.9147795),23631,false,-1.1337054,
436426826,52.9362672,POINT (-1.2267134 52.9362672),23632,false,-1.2267134,
3665985841,52.9297537,POINT (-1.1994687 52.9297537),23633,false,-1.1994687,
365338061,53.0063351,POINT (-1.1376834 53.0063351),23634,true,-1.1376834,
331185516,52.8928191,POINT (-1.1599095 52.8928191),23635,false,-1.1599095,
288207059,52.9662943,POINT (-1.1948225 52.9662943),23636,false,-1.1948225,
462761474,52.9496192,POINT (-0.9711121 52.9496192),23637,false,-0.9711121,
5414165839,52.9928074,POINT (-1.09135 52.9928074),23638,false,-1.09135,
88820468,52.9409953,POINT (-1.2442043 52.9409953),23639,false,-1.2442043,
1110532299,52.9951,POINT (-1.1544544 52.9951),23640,true,-1.1544544,
660482020,52.9492424,POINT (-1.0211581 52.9492424),23641,false,-1.0211581,
224563518,52.9383505,POINT (-1.1808524 52.9383505),23642,false,-1.1808524,
1803835718,53.0104101,POINT (-1.1237267 53.0104101),23643,false,-1.1237267,
462810876,52.897427,POINT (-1.1562499 52.897427),23644,false,-1.1562499,
2050172076,53.0304015,POINT (-1.2350892 53.0304015),23645,true,-1.2350892,
387527537,52.9594019,POINT (-1.0910727 52.9594019),23646,false,-1.0910727,
3452274952,53.0237492,POINT (-1.172806 53.0237492),23647,false,-1.172806,
1830612500,52.9910954,POINT (-1.1765201 52.9910954),23648,false,-1.1765201,
1142615992,52.9109282,POINT (-1.0429945 52.9109282),23649,true,-1.0429945,
1330995301,53.0013202,POINT (-1.1780528 53.0013202),23650,false,-1.1780528,
1344440133,52.9933434,POINT (-1.1673623 52.9933434),23651,false,-1.1673623,
253486654,52.964674,POINT (-1.2287018 52.964674),23652,false,-1.2287018,
1194051730,52.905358,POINT (-1.2470319 52.905358),23653,false,-1.2470319,
479524420,52.9057261,POINT (-1.0451049 52.9057261),23654,true,-1.0451049,
322912818,52.9130398,POINT (-1.1332577 52.9130398),23655,true,-1.1332577,
431247375,52.9961296,POINT (-1.1903359 52.9961296),23656,false,-1.1903359,
239926085,52.920111,POINT (-1.2175636 52.920111),23657,false,-1.2175636,
1113304524,53.0257928,POINT (-1.1976016 53.0257928),23658,false,-1.1976016,
341311088,52.9649218,POINT (-1.1297606 52.9649218),23659,true,-1.1297606,
165166512,52.9818264,POINT (-0.9652065 52.9818264),23660,false,-0.9652065,
706724945,52.865782,POINT (-1.2051408 52.865782),23661,false,-1.2051408,
26818491,52.9365553,POINT (-1.250116 52.9365553),23662,false,-1.250116,
2295527196,53.009362,POINT (-1.1912791 53.009362),23663,false,-1.1912791,
1995658325,52.9650339,POINT (-1.2171205 52.9650339),23664,false,-1.2171205,
253585703,52.9603913,POINT (-1.2240263 52.9603913),23665,true,-1.2240263,
2075246693,52.9959409,POINT (-1.1082266 52.9959409),23666,false,-1.1082266,
1766960441,52.9464584,POINT (-1.1436294 52.9464584),23667,false,-1.1436294,
213521194,52.9649171,POINT (-1.2005285 52.9649171),23668,false,-1.2005285,
5005954901,52.9189657,POINT (-1.0080351 52.9189657),23669,false,-1.0080351,
288320115,52.9759538,POINT (-1.2256185 52.9759538),23670,false,-1.2256185,
36416743,52.9815664,POINT (-1.1264455 52.9815664),23671,false,-1.1264455,
288320263,52.9757701,POINT (-1.2149144 52.9757701),23672,false,-1.2149144,
2050176641,53.0385035,POINT (-1.2253677 53.0385035),23673,true,-1.2253677,
322911910,52.9183144,POINT (-1.1297932 52.9183144),23674,false,-1.1297932,
